"DisplayName","Created","Changed","Name","FilePath"
"Push Self-Cert","6/16/2009 1:56:53 PM","6/12/2017 2:53:05 PM","{D1431F35-9A5B-4BC0-8F96-8AF26137FD44}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{D1431F35-9A5B-4BC0-8F96-8AF26137FD44}"
"NOC Exclusion","11/13/2009 1:59:01 PM","6/12/2017 2:53:05 PM","{D53FC987-7C1E-4963-A1A3-6E43976DBF70}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{D53FC987-7C1E-4963-A1A3-6E43976DBF70}"
"Disable Old Cryptography Algorithm","3/17/2010 12:58:28 PM","6/12/2017 2:53:05 PM","{29B2BA93-3B21-4C44-A590-887BCACB11FD}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{29B2BA93-3B21-4C44-A590-887BCACB11FD}"
"AuditPol","4/7/2010 3:14:10 PM","6/12/2017 2:53:05 PM","{D7CD6756-382C-4884-ABC1-7E4A68F8588A}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{D7CD6756-382C-4884-ABC1-7E4A68F8588A}"
"Lock Servers","5/18/2010 10:33:11 AM","6/12/2017 2:53:05 PM","{9753B08D-5674-4E8E-8783-8FEB8738352D}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{9753B08D-5674-4E8E-8783-8FEB8738352D}"
"Software Push","9/14/2010 3:12:25 PM","6/12/2017 2:53:05 PM","{4C4DA256-A507-4698-8052-ECD89EFDD4F2}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{4C4DA256-A507-4698-8052-ECD89EFDD4F2}"
"DB Power Settings","5/9/2011 9:56:48 AM","6/12/2017 2:53:08 PM","{BFEF694B-4482-4411-B0C6-22F2B3E989F4}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{BFEF694B-4482-4411-B0C6-22F2B3E989F4}"
"Titan Audit Test","8/29/2011 12:55:34 PM","6/12/2017 2:53:08 PM","{9CB5E1C0-7A54-4730-B5CA-BE360CA078B1}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{9CB5E1C0-7A54-4730-B5CA-BE360CA078B1}"
"PCI V2 Settings (Level 1)","2/1/2012 11:23:52 AM","6/12/2017 2:53:09 PM","{402E562A-9D47-4FE5-A8ED-D65E2EE74BE0}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{402E562A-9D47-4FE5-A8ED-D65E2EE74BE0}"
"Disable Outlook Anywhere","2/8/2012 3:42:47 PM","6/12/2017 2:53:09 PM","{59D4BB76-37DD-4A84-9C77-19D99C67D72E}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{59D4BB76-37DD-4A84-9C77-19D99C67D72E}"
"pci v3_setting 2012 - test AA","5/15/2012 9:32:13 AM","6/12/2017 2:53:09 PM","{672E275B-1EC7-4765-94DA-11D5920D2BA7}","\\corp.vegas.com\sysvol\corp.vegas.com\Policies\{672E275B-1EC7-4765-94DA-11D5920D2BA7}"
"NTLMV2","6/1/2012 9:41:46 AM","6/12/2017 2:53:09 PM","{1B2D3735-761D-4E18-8EA8-9E354D480F42}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{1B2D3735-761D-4E18-8EA8-9E354D480F42}"
"NTP Time Service","10/31/2012 10:28:58 AM","6/12/2017 2:53:09 PM","{A6312499-1DAF-4103-8831-01BC29C3ED15}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{A6312499-1DAF-4103-8831-01BC29C3ED15}"
"Mobile","12/7/2012 1:55:09 PM","6/12/2017 2:53:10 PM","{5954607D-268B-419E-8B56-FCCDDA348284}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{5954607D-268B-419E-8B56-FCCDDA348284}"
"Mobile Devices","12/10/2012 10:01:53 AM","6/12/2017 2:53:10 PM","{D2C4AAF3-3016-4A0A-948B-64B8159AFA3C}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{D2C4AAF3-3016-4A0A-948B-64B8159AFA3C}"
"Quest Password Manager x86 Install","12/21/2012 11:20:33 AM","6/12/2017 2:53:10 PM","{1D3BEC9E-B2E8-49B1-9CC8-29611098B2B9}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{1D3BEC9E-B2E8-49B1-9CC8-29611098B2B9}"
"Quest Password Manager x64 Install","12/26/2012 9:09:08 AM","6/12/2017 2:53:10 PM","{29CC6553-68E8-4464-9FDE-D1FC915A323F}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{29CC6553-68E8-4464-9FDE-D1FC915A323F}"
"Win 7 Change Shutdown to Log off","1/29/2013 9:19:50 AM","6/12/2017 2:53:10 PM","{3DD40027-2098-4F1A-ADDB-1B7EDB257B89}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{3DD40027-2098-4F1A-ADDB-1B7EDB257B89}"
"Win 7 Power Settings","1/29/2013 9:20:29 AM","6/12/2017 2:53:10 PM","{B4C2ADA6-55F4-4B78-8F21-F1733EF13217}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{B4C2ADA6-55F4-4B78-8F21-F1733EF13217}"
"Copy of Trusted Sites","5/21/2013 12:39:42 PM","6/12/2017 2:53:10 PM","{058C29A5-D660-43EA-B101-68FBB6EFDA12}","\\corp.vegas.com\sysvol\corp.vegas.com\Policies\{058C29A5-D660-43EA-B101-68FBB6EFDA12}"
"Trusted Sites for QA Machines","5/21/2013 12:41:30 PM","6/12/2017 2:53:10 PM","{6BF6A835-7DA6-419E-9B3C-D6B66B6EE729}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{6BF6A835-7DA6-419E-9B3C-D6B66B6EE729}"
"Disable LLMNR and Lan Manager Hash","7/24/2013 9:53:35 AM","6/12/2017 2:53:10 PM","{6DE23404-5C82-46A3-AB16-3A4FC1C261F5}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{6DE23404-5C82-46A3-AB16-3A4FC1C261F5}"
"PCI Settings Workstations","8/29/2013 2:25:28 PM","6/12/2017 2:53:10 PM","{27E89372-F022-4DCC-B2C7-56FC0678B5F0}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{27E89372-F022-4DCC-B2C7-56FC0678B5F0}"
"BigFix Client Install","11/5/2013 3:13:11 PM","6/12/2017 2:53:10 PM","{3AD19FB4-459F-42ED-8172-FB0A52A090F3}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{3AD19FB4-459F-42ED-8172-FB0A52A090F3}"
"test qpm","7/28/2014 9:47:15 AM","6/12/2017 2:53:14 PM","{56C23D48-D7AC-4998-9DB3-E8642C101144}","\\corp.vegas.com\sysvol\corp.vegas.com\Policies\{56C23D48-D7AC-4998-9DB3-E8642C101144}"
"Unsolicited Remote Assistance","10/1/2014 1:28:35 PM","6/12/2017 2:53:17 PM","{FC737EDB-07A1-4C90-ADD9-3C5DA46F602A}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{FC737EDB-07A1-4C90-ADD9-3C5DA46F602A}"
"Disable OneDrive Default","7/22/2015 10:21:31 AM","6/12/2017 2:53:26 PM","{6A43BA4B-D6EA-471D-8EAE-42B1B283A326}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{6A43BA4B-D6EA-471D-8EAE-42B1B283A326}"
"Disable SSLv2","7/23/2015 10:40:17 AM","6/12/2017 2:53:26 PM","{F882FC2D-F2B6-4919-8DBA-B2007FE22D37}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{F882FC2D-F2B6-4919-8DBA-B2007FE22D37}"
"LAPS","8/19/2015 2:50:16 PM","6/12/2017 2:53:26 PM","{43068753-6C26-4F37-B1FE-E2F09EB740EE}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{43068753-6C26-4F37-B1FE-E2F09EB740EE}"
"RDP 8 Enable","10/30/2015 2:15:32 PM","9/26/2017 3:55:04 PM","{A12D8816-7D3B-4998-B51A-BCBCA136625E}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{A12D8816-7D3B-4998-B51A-BCBCA136625E}"
"Enable TLS in IE","12/9/2015 2:19:29 PM","6/12/2017 2:53:29 PM","{B307195C-0364-4443-A885-C41EA57CB1E2}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{B307195C-0364-4443-A885-C41EA57CB1E2}"
"EnableSSL","12/18/2015 3:14:39 PM","6/12/2017 2:53:29 PM","{AA323D59-13E9-4C8A-B722-951500643DA9}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{AA323D59-13E9-4C8A-B722-951500643DA9}"
"Root CA Cert Push","3/31/2016 1:12:13 PM","6/12/2017 2:53:30 PM","{74631C6F-4BF6-4630-BDF5-71395ECB1A78}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{74631C6F-4BF6-4630-BDF5-71395ECB1A78}"
"Cert AutoRenew","6/10/2016 2:46:39 PM","6/12/2017 2:53:32 PM","{A0981145-CEA1-4F83-B8DC-752360935A53}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{A0981145-CEA1-4F83-B8DC-752360935A53}"
"Enable TLS and SSL in IE","8/2/2016 3:13:08 PM","6/12/2017 2:53:35 PM","{B20D5060-98A1-49A8-9B13-0D7580D1C1C2}","\\corp.vegas.com\sysvol\corp.vegas.com\Policies\{B20D5060-98A1-49A8-9B13-0D7580D1C1C2}"
"PCI Settings 2016","10/18/2016 3:17:46 PM","6/12/2017 2:53:38 PM","{776215B1-BE84-47C7-BEA2-C25A50D5A738}","\\corp.vegas.com\sysvol\corp.vegas.com\Policies\{776215B1-BE84-47C7-BEA2-C25A50D5A738}"
"Domain Member PCI Policies Combined","10/18/2016 3:19:10 PM","6/12/2017 2:53:38 PM","{E02D8C06-48B7-468F-80A6-02F41B31A4F0}","\\corp.vegas.com\sysvol\corp.vegas.com\Policies\{E02D8C06-48B7-468F-80A6-02F41B31A4F0}"
"PCI V3 Setting -2012","10/18/2016 3:20:09 PM","6/12/2017 2:53:38 PM","{25A5E080-D291-453F-B37C-D70C17F75D8F}","\\corp.vegas.com\sysvol\corp.vegas.com\Policies\{25A5E080-D291-453F-B37C-D70C17F75D8F}"
"PCI DLL Order Mod","10/18/2016 3:20:38 PM","6/12/2017 2:53:38 PM","{42F2538D-DBBB-4F2B-81B8-51931D8FC899}","\\corp.vegas.com\sysvol\corp.vegas.com\Policies\{42F2538D-DBBB-4F2B-81B8-51931D8FC899}"
"DC PCI Settings 2016","10/18/2016 3:22:41 PM","6/12/2017 2:53:39 PM","{E9429FF4-69B3-4301-89D4-B14E728A0A91}","\\corp.vegas.com\sysvol\corp.vegas.com\Policies\{E9429FF4-69B3-4301-89D4-B14E728A0A91}"
"DC PCI Settings Combined","10/18/2016 3:23:08 PM","6/12/2017 2:53:39 PM","{0D9412C8-79D6-428C-91FF-C1C32677BD43}","\\corp.vegas.com\sysvol\corp.vegas.com\Policies\{0D9412C8-79D6-428C-91FF-C1C32677BD43}"
"Enable SMB Signing","10/18/2016 4:23:00 PM","6/12/2017 2:53:39 PM","{6CE7A639-ED4F-4AB5-94A2-7A8E12ABD499}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{6CE7A639-ED4F-4AB5-94A2-7A8E12ABD499}"
"Remote Desktop Certs","11/22/2016 10:07:41 AM","8/22/2018 9:56:32 AM","{5906D537-00A3-40F4-AB46-CC6B69C38C52}","\\corp.vegas.com\sysvol\corp.vegas.com\Policies\{5906D537-00A3-40F4-AB46-CC6B69C38C52}"
"SCHANNEL_DISABLE_3DES_RC4_CIPHERS","12/8/2016 3:34:40 PM","6/12/2017 2:53:40 PM","{C2510E20-ABCF-45B7-B42E-1095B260F658}","\\corp.vegas.com\sysvol\corp.vegas.com\Policies\{C2510E20-ABCF-45B7-B42E-1095B260F658}"
"PCI Settings 2017","3/17/2017 9:57:44 AM","6/12/2017 2:53:44 PM","{D44A8A8B-4D52-44EB-96F3-230B0F9378B5}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{D44A8A8B-4D52-44EB-96F3-230B0F9378B5}"
"ePO_AUTHROOT_CERTS","5/25/2017 3:09:56 PM","6/12/2017 2:53:52 PM","{9BAE66AE-1D28-41EE-8C72-855D4466DFEC}","\\corp.vegas.com\sysvol\corp.vegas.com\Policies\{9BAE66AE-1D28-41EE-8C72-855D4466DFEC}"
"Print Server Settings","6/12/2017 2:50:04 PM","6/12/2017 3:13:45 PM","{AE50C396-CC3B-43C6-A15B-8D9B8E93C1AA}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{AE50C396-CC3B-43C6-A15B-8D9B8E93C1AA}"
"Power Settings Unlocked","9/19/2017 10:33:08 AM","9/19/2017 10:35:22 AM","{9933D528-0953-44B5-AE92-503BB08ACD9E}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{9933D528-0953-44B5-AE92-503BB08ACD9E}"
"Enable RDP 8","9/26/2017 2:54:48 PM","9/26/2017 2:54:51 PM","{3587BDD4-B929-4C59-A7D3-A68A3F8EA5EB}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{3587BDD4-B929-4C59-A7D3-A68A3F8EA5EB}"
"Disable TLS 1.0 Server","9/27/2017 9:33:59 AM","4/30/2018 2:57:51 PM","{1AD31E88-6F09-4F3D-9848-9363CC37C42B}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{1AD31E88-6F09-4F3D-9848-9363CC37C42B}"
"Telecom Env Variable","11/14/2017 3:08:33 PM","11/14/2017 3:09:51 PM","{C509EB16-EBCD-4A6D-8020-A09B6BD2359A}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{C509EB16-EBCD-4A6D-8020-A09B6BD2359A}"
"Allow Windows Update","11/29/2017 4:14:38 PM","11/29/2017 4:15:20 PM","{5BB85665-0E4A-4624-8857-F891915ED810}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{5BB85665-0E4A-4624-8857-F891915ED810}"
"Disable USB Mass Storage","1/31/2018 10:31:53 AM","1/31/2018 10:32:22 AM","{0C19DCF7-2E41-4081-8767-ED15F7D7ADF0}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{0C19DCF7-2E41-4081-8767-ED15F7D7ADF0}"
"sig redirect","2/1/2018 2:26:08 PM","2/1/2018 3:30:14 PM","{81404D7A-658E-4576-B3EE-0A5703D5A5CD}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{81404D7A-658E-4576-B3EE-0A5703D5A5CD}"
"Enable TLS 1.1 and 1.2","4/30/2018 2:54:46 PM","5/23/2018 9:25:31 AM","{7C2C3B05-D668-48C6-893F-D08C61819779}","\\corp.vegas.com\sysvol\corp.vegas.com\Policies\{7C2C3B05-D668-48C6-893F-D08C61819779}"
"Lower CredSSP Protection (RDP fix)","5/23/2018 9:59:33 AM","5/23/2018 10:00:10 AM","{1063F96B-6801-46BC-8319-C9A0ED879212}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{1063F96B-6801-46BC-8319-C9A0ED879212}"
"Sub Domain Compatibility Mode","6/14/2018 9:55:26 AM","8/24/2018 11:04:22 AM","{CEAF09F6-FF50-4B4D-AC52-85B83E31D553}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{CEAF09F6-FF50-4B4D-AC52-85B83E31D553}"
"Enable Automatic Root Certificates Update","7/31/2018 11:13:07 AM","7/31/2018 11:13:32 AM","{43C7624A-722F-4B53-BCBC-92F5D0E93814}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{43C7624A-722F-4B53-BCBC-92F5D0E93814}"
"SMB Signing","8/23/2018 3:50:11 PM","8/23/2018 3:50:51 PM","{7269C674-480B-42D7-B440-BF1C302EDC63}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{7269C674-480B-42D7-B440-BF1C302EDC63}"
"Enable WinRM","8/23/2018 4:38:13 PM","8/23/2018 4:38:23 PM","{6310BAC6-BCE1-4B68-84FD-27E08CF5C98B}","\\corp.vegas.com\SysVol\corp.vegas.com\Policies\{6310BAC6-BCE1-4B68-84FD-27E08CF5C98B}"
