"Name","RecordCount","USNCreated","USNChanged","whenCreated","whenChanged","DistinguishedName"
"31.10.10.in-addr.arpa","50","47979","4100521","1/2/2018 11:15:10 AM","8/6/2021 8:19:46 AM","DC=31.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"11.10.10.in-addr.arpa","41","47980","4100449","6/25/2013 4:17:28 PM","8/6/2021 8:19:46 AM","DC=11.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"33.10.10.in-addr.arpa","67","47981","47981","1/2/2018 11:20:32 AM","5/19/2021 4:19:28 PM","DC=33.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"28.10.10.in-addr.arpa","45","47982","47982","1/2/2018 11:26:11 AM","5/19/2021 4:19:28 PM","DC=28.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"37.10.10.in-addr.arpa","17","47983","47983","7/3/2019 2:49:49 PM","5/19/2021 4:19:28 PM","DC=37.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"38.10.10.in-addr.arpa","1","47984","47984","7/3/2019 2:49:49 PM","5/19/2021 4:19:28 PM","DC=38.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"53.10.10.in-addr.arpa","66","47985","47985","7/3/2019 2:49:51 PM","5/19/2021 4:19:28 PM","DC=53.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"54.10.10.in-addr.arpa","8","47986","47986","7/3/2019 2:49:51 PM","5/19/2021 4:19:28 PM","DC=54.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"55.10.10.in-addr.arpa","11","47987","47987","7/3/2019 2:49:51 PM","5/19/2021 4:19:28 PM","DC=55.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"29.10.10.in-addr.arpa","21","47988","47988","1/2/2018 11:26:29 AM","5/19/2021 4:19:28 PM","DC=29.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"12.10.10.in-addr.arpa","38","47989","47989","4/9/2015 3:47:54 PM","5/19/2021 4:19:28 PM","DC=12.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"14.10.10.in-addr.arpa","29","47991","4100463","4/9/2015 3:48:11 PM","8/6/2021 8:19:46 AM","DC=14.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"34.10.10.in-addr.arpa","1","47992","47992","1/2/2018 11:20:53 AM","5/19/2021 4:19:28 PM","DC=34.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"45.10.10.in-addr.arpa","1","47997","47997","1/2/2018 11:28:56 AM","5/19/2021 4:19:28 PM","DC=45.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"111.10.10.in-addr.arpa","1","47998","4100453","2/22/2017 11:59:44 AM","8/6/2021 8:19:46 AM","DC=111.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"17.10.10.in-addr.arpa","4","47999","4100473","11/27/2017 4:04:39 PM","8/6/2021 8:19:46 AM","DC=17.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"21.10.10.in-addr.arpa","10","48000","4100493","4/9/2015 3:50:51 PM","8/6/2021 8:19:46 AM","DC=21.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"22.10.10.in-addr.arpa","5","48001","48001","4/9/2015 3:51:08 PM","5/19/2021 4:19:28 PM","DC=22.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"222.10.10.in-addr.arpa","1","48002","48002","7/3/2019 2:49:52 PM","5/19/2021 4:19:28 PM","DC=222.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"23.10.10.in-addr.arpa","41","48003","48003","4/9/2015 3:51:30 PM","5/19/2021 4:19:28 PM","DC=23.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"24.10.10.in-addr.arpa","17","48004","4100503","4/9/2015 3:51:48 PM","8/6/2021 8:19:46 AM","DC=24.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"25.10.10.in-addr.arpa","15","48005","48005","4/9/2015 3:52:05 PM","5/19/2021 4:19:28 PM","DC=25.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"26.10.10.in-addr.arpa","26","48006","48006","4/9/2015 3:52:13 PM","5/19/2021 4:19:28 PM","DC=26.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"27.10.10.in-addr.arpa","3","48007","48007","1/2/2018 11:25:52 AM","5/19/2021 4:19:28 PM","DC=27.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"32.10.10.in-addr.arpa","1","48008","48008","1/2/2018 11:20:02 AM","5/19/2021 4:19:28 PM","DC=32.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"35.10.10.in-addr.arpa","1","48009","48009","1/2/2018 11:21:16 AM","5/19/2021 4:19:28 PM","DC=35.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"36.10.10.in-addr.arpa","1","48010","48010","1/2/2018 11:21:33 AM","5/19/2021 4:19:28 PM","DC=36.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"41.10.10.in-addr.arpa","27","48011","48011","1/2/2018 11:26:57 AM","5/19/2021 4:19:28 PM","DC=41.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"42.10.10.in-addr.arpa","1","48012","48012","1/2/2018 11:27:12 AM","5/19/2021 4:19:28 PM","DC=42.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"43.10.10.in-addr.arpa","33","48013","48013","1/2/2018 11:27:31 AM","5/19/2021 4:19:28 PM","DC=43.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"44.10.10.in-addr.arpa","1","48014","48014","1/2/2018 11:27:49 AM","5/19/2021 4:19:28 PM","DC=44.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"46.10.10.in-addr.arpa","1","48015","48015","1/2/2018 11:29:10 AM","5/19/2021 4:19:28 PM","DC=46.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"47.10.10.in-addr.arpa","1","48016","48016","7/3/2019 2:49:50 PM","5/19/2021 4:19:28 PM","DC=47.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"48.10.10.in-addr.arpa","1","48017","48017","7/3/2019 2:49:50 PM","5/19/2021 4:19:28 PM","DC=48.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"49.10.10.in-addr.arpa","11","48018","48018","7/3/2019 2:49:50 PM","5/19/2021 4:19:28 PM","DC=49.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"51.10.10.in-addr.arpa","27","48019","48019","7/3/2019 2:49:50 PM","5/19/2021 4:19:28 PM","DC=51.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"52.10.10.in-addr.arpa","13","48020","48020","7/3/2019 2:49:50 PM","5/19/2021 4:19:28 PM","DC=52.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"56.10.10.in-addr.arpa","59","48021","48021","7/3/2019 2:49:51 PM","5/19/2021 4:19:28 PM","DC=56.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"63.10.10.in-addr.arpa","52","48022","4100573","7/3/2019 2:49:51 PM","8/6/2021 8:19:46 AM","DC=63.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"64.10.10.in-addr.arpa","1","48023","48023","7/3/2019 2:49:51 PM","5/19/2021 4:19:28 PM","DC=64.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"65.10.10.in-addr.arpa","13","48024","48024","7/3/2019 2:49:51 PM","5/19/2021 4:19:28 PM","DC=65.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"66.10.10.in-addr.arpa","22","48025","48025","7/3/2019 2:49:52 PM","5/19/2021 4:19:28 PM","DC=66.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"20.10.10.in-addr.arpa","2","48035","4100489","1/25/2012 6:28:29 PM","8/6/2021 8:19:46 AM","DC=20.10.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"23.20.10.in-addr.arpa","2","48100","4100501","7/17/2020 3:31:53 PM","8/6/2021 8:19:46 AM","DC=23.20.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"2.20.10.in-addr.arpa","1","48103","4100485","7/22/2020 12:49:24 PM","8/6/2021 8:19:46 AM","DC=2.20.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"100.183.168.in-addr.arpa","1","48109","4100447","8/4/2020 12:37:55 PM","8/6/2021 8:19:46 AM","DC=100.183.168.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"6.20.10.in-addr.arpa","7","48114","4100571","8/7/2020 12:34:30 PM","8/6/2021 8:19:46 AM","DC=6.20.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"RootDNSServers","14","48123","5920149","7/14/2011 9:29:52 PM","9/7/2021 8:28:48 PM","DC=RootDNSServers,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"4.168.192.in-addr.arpa","1","48158","4100539","10/17/2011 4:02:22 PM","8/6/2021 8:19:46 AM","DC=4.168.192.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"2.168.192.in-addr.arpa","1","48159","4100483","2/3/2012 3:26:09 PM","8/6/2021 8:19:46 AM","DC=2.168.192.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"15.20.10.in-addr.arpa","6","48228","4100467","2/19/2021 8:43:49 AM","8/6/2021 8:19:46 AM","DC=15.20.10.in-addr.arpa,CN=MicrosoftDNS,DC=DomainDnsZones,DC=USON,DC=LOCAL"
"OPTUMMG.COM","6","47684","4100421","11/8/2013 10:28:39 AM","8/6/2021 8:19:41 AM","DC=OPTUMMG.COM,CN=MicrosoftDNS,DC=ForestDnsZones,DC=USON,DC=LOCAL"
"OPTUMMSO.COM","6","47686","4100422","11/19/2013 4:41:25 PM","8/6/2021 8:19:41 AM","DC=OPTUMMSO.COM,CN=MicrosoftDNS,DC=ForestDnsZones,DC=USON,DC=LOCAL"
"..TrustAnchors","1","47689","4100426","3/9/2013 6:54:02 PM","8/6/2021 8:19:41 AM","DC=..TrustAnchors,CN=MicrosoftDNS,DC=ForestDnsZones,DC=USON,DC=LOCAL"
"_msdcs.USON.LOCAL","17","47692","47692","7/11/2011 12:36:03 PM","5/19/2021 4:19:28 PM","DC=_msdcs.USON.LOCAL,CN=MicrosoftDNS,DC=ForestDnsZones,DC=USON,DC=LOCAL"
"USONV.COM","11","47693","4100428","10/11/2019 8:45:17 AM","8/6/2021 8:19:41 AM","DC=USONV.COM,CN=MicrosoftDNS,DC=ForestDnsZones,DC=USON,DC=LOCAL"
"UROLOGYSPECIALISTSNV.COM","4","47699","4100427","10/11/2019 8:45:43 AM","8/6/2021 8:19:41 AM","DC=UROLOGYSPECIALISTSNV.COM,CN=MicrosoftDNS,DC=ForestDnsZones,DC=USON,DC=LOCAL"
"SNVCS.COM","4","47701","4100425","10/11/2019 8:45:54 AM","8/6/2021 8:19:41 AM","DC=SNVCS.COM,CN=MicrosoftDNS,DC=ForestDnsZones,DC=USON,DC=LOCAL"
"1.20.10.in-addr.arpa","17","47703","4100411","6/7/2020 3:45:25 PM","8/6/2021 8:19:41 AM","DC=1.20.10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=USON,DC=LOCAL"
"3.20.10.in-addr.arpa","12","47708","4100419","6/19/2020 11:45:09 AM","8/6/2021 8:19:41 AM","DC=3.20.10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=USON,DC=LOCAL"
"20.20.10.in-addr.arpa","7","47714","4100418","6/30/2020 1:33:56 PM","8/6/2021 8:19:41 AM","DC=20.20.10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=USON,DC=LOCAL"
"30.20.10.in-addr.arpa","1","47718","4100420","7/9/2020 8:05:21 AM","8/6/2021 8:19:41 AM","DC=30.20.10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=USON,DC=LOCAL"
"12.20.10.in-addr.arpa","6","47724","4100414","7/13/2020 9:57:27 AM","8/6/2021 8:19:41 AM","DC=12.20.10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=USON,DC=LOCAL"
"10.20.10.in-addr.arpa","46","47726","4100412","7/13/2020 9:56:59 AM","8/6/2021 8:19:41 AM","DC=10.20.10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=USON,DC=LOCAL"
"13.20.10.in-addr.arpa","6","47744","4100415","9/23/2020 11:49:31 AM","8/6/2021 8:19:41 AM","DC=13.20.10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=USON,DC=LOCAL"
"rocnv.com","3","47746","4100424","10/10/2020 4:43:43 PM","8/6/2021 8:19:41 AM","DC=rocnv.com,CN=MicrosoftDNS,DC=ForestDnsZones,DC=USON,DC=LOCAL"
"rocnevada.com","3","47747","4100423","10/10/2020 4:51:47 PM","8/6/2021 8:19:41 AM","DC=rocnevada.com,CN=MicrosoftDNS,DC=ForestDnsZones,DC=USON,DC=LOCAL"
"11.20.10.in-addr.arpa","4","47749","6681119","7/13/2020 9:57:13 AM","9/21/2021 11:05:43 AM","DC=11.20.10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=USON,DC=LOCAL"
"16.20.10.in-addr.arpa","19","47795","4100416","4/2/2021 9:53:29 AM","8/6/2021 8:19:41 AM","DC=16.20.10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=USON,DC=LOCAL"
"17.20.10.in-addr.arpa","23","47796","4100417","4/2/2021 9:53:43 AM","8/6/2021 8:19:41 AM","DC=17.20.10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=USON,DC=LOCAL"
"68.251.10.in-addr.arpa","50","6795772","6795772","9/23/2021 12:18:17 PM","9/23/2021 12:18:37 PM","DC=68.251.10.in-addr.arpa,CN=MicrosoftDNS,DC=ForestDnsZones,DC=USON,DC=LOCAL"
"opt.lan","52","6795789","6795789","9/23/2021 12:18:57 PM","9/23/2021 12:19:05 PM","DC=opt.lan,CN=MicrosoftDNS,DC=ForestDnsZones,DC=USON,DC=LOCAL"
