"ObjectDN","ObjectOwner","EntityName","ActiveDirectoryRights","ObjectRights","ObjectClass","ObjectClassCategory","EntityType","EntityGroupMembers","EntityGroupMembersCount","isMemberOfOtherGroups","IsInherited","PropagationFlags","InheritanceFlags","InheritedObjectType","InheritanceType","ObjectFlags","AccessControlType","ObjectSID","IdentitySID"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","BUILTIN\Administrators","ExtendedRight","DS-Replication-Get-Changes-In-Filtered-Set","top domain domainDNS ","Domain","Group","cbrown ssadmnpri bjperna.dr pramadas.dr rrodriguez.dr atoral.dr ssuvvari.dr epavon.dr lpetitjean.dr selliott.dr jjakubowski.dr whuggins.dr nfedei.dr tphillips.dr MTaranto.DR jadkins.advisor aeufemio.dr mwroblewski.dr dmabiala.dr jmadan.dr jvanderbeek.dr pjurisprudencia.dr jedwards.dr wharp.dr rdequiroz.dr kumblas.dr RDowd.dr aasokan.dr lsmith.dr aortega.dr agilbert.dr dcatto.dr Rsanders.dr RMeine.dr RFernandez.dr svc_rsa infra_svc svc_phxSecretServer","38","True","False","None","None","All","None","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-32-544"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","BUILTIN\Administrators","ExtendedRight","DS-Replication-Get-Changes","top domain domainDNS ","Domain","Group","cbrown ssadmnpri bjperna.dr pramadas.dr rrodriguez.dr atoral.dr ssuvvari.dr epavon.dr lpetitjean.dr selliott.dr jjakubowski.dr whuggins.dr nfedei.dr tphillips.dr MTaranto.DR jadkins.advisor aeufemio.dr mwroblewski.dr dmabiala.dr jmadan.dr jvanderbeek.dr pjurisprudencia.dr jedwards.dr wharp.dr rdequiroz.dr kumblas.dr RDowd.dr aasokan.dr lsmith.dr aortega.dr agilbert.dr dcatto.dr Rsanders.dr RMeine.dr RFernandez.dr svc_rsa infra_svc svc_phxSecretServer","38","True","False","None","None","All","None","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-32-544"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Enterprise Read-only Domain Controllers","ExtendedRight","DS-Replication-Get-Changes","top domain domainDNS ","Domain","Other","","0","False","False","None","None","All","None","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-498"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\NOC-Delegated Control","ReadProperty, WriteProperty","Pwd-Last-Set","top domain domainDNS ","Domain","Other","","0","False","False","InheritOnly","ContainerInherit","User","Descendents","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-20151"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\NOC-Delegated Control","ExtendedRight","User-Force-Change-Password","top domain domainDNS ","Domain","Other","","0","False","False","InheritOnly","ContainerInherit","User","Descendents","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-20151"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Organization Management","WriteProperty","Display-Name","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23107"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Organization Management","GenericAll","ms-Exch-Dynamic-Distribution-List","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23107"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Organization Management","WriteProperty","Display-Name-Printable","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23107"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Organization Management","WriteProperty","Legacy-Exchange-DN","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23107"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Organization Management","WriteProperty","E-mail-Addresses","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23107"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Organization Management","WriteProperty","Garbage-Coll-Period","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23107"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Organization Management","WriteProperty","ms-Exch-Public-Delegates","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23107"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Organization Management","WriteProperty","Proxy-Addresses","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23107"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Organization Management","WriteProperty","Exchange-Information","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23107"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Organization Management","WriteProperty","Show-In-Address-Book","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23107"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Organization Management","WriteProperty","Admin-Display-Name","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23107"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Organization Management","WriteProperty","Text-Encoded-OR-Address","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23107"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Organization Management","WriteProperty","Exchange-Personal-Information","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23107"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Servers","WriteProperty","ms-Exch-Blocked-Senders-Hash","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23118"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Servers","WriteProperty","ms-Exch-UM-Dtmf-Map","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23118"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Servers","WriteProperty","X509-Cert","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23118"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Servers","WriteProperty","ms-Exch-Safe-Recipients-Hash","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23118"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Servers","WriteProperty","ms-Exch-Mobile-Mailbox-Flags","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23118"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Servers","WriteProperty","Group-Type","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23118"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Servers","WriteProperty","ms-Exch-Public-Delegates","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23118"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Servers","WriteProperty","ms-Exch-UM-Spoken-Name","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23118"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Servers","WriteProperty","ms-Exch-Mailbox-Security-Descriptor","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23118"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Servers","WriteProperty","ms-Exch-UM-Pin-Checksum","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23118"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Servers","WriteProperty","ms-Exch-UM-Server-Writable-Flags","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23118"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Servers","WriteProperty","ms-Exch-Safe-Senders-Hash","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23118"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Servers","WriteProperty","Picture","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23118"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Servers","CreateChild, DeleteChild, ListChildren","ms-Exch-Active-Sync-Devices","top domain domainDNS ","Domain","Other","","0","False","False","InheritOnly","ContainerInherit","inetOrgPerson","Descendents","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23118"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Servers","CreateChild, DeleteChild, ListChildren, ReadProperty, WriteProperty, ListObject","ms-Exch-Active-Sync-Device","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23118"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Servers","WriteProperty","ms-Exch-User-Culture","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23118"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Servers","CreateChild, DeleteChild, ListChildren","ms-Exch-Active-Sync-Devices","top domain domainDNS ","Domain","Other","","0","False","False","InheritOnly","ContainerInherit","User","Descendents","ObjectAceTypePresent, InheritedObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23118"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Servers","ReadProperty, WriteProperty, ListObject, Delete","All","top domain domainDNS ","Domain","Other","","0","False","False","NoPropagateInherit, InheritOnly","ContainerInherit","ms-Exch-Active-Sync-Device","Children","InheritedObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23118"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","Proxy-Addresses","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23119"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","Show-In-Address-Book","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23119"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","Exchange-Personal-Information","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23119"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","Admin-Display-Name","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23119"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Trusted Subsystem","WriteDacl","All","top domain domainDNS ","Domain","Other","","0","False","False","InheritOnly","ContainerInherit","Group","Descendents","InheritedObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23119"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","Display-Name","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23119"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Trusted Subsystem","GenericAll","ms-Exch-Dynamic-Distribution-List","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23119"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Trusted Subsystem","CreateChild, DeleteChild, ListChildren, ReadProperty, WriteProperty, ListObject","ms-Exch-Public-Folder","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23119"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","Public-Information","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23119"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Trusted Subsystem","GenericAll","All","top domain domainDNS ","Domain","Other","","0","False","False","InheritOnly","ContainerInherit","ms-Exch-Active-Sync-Devices","Descendents","InheritedObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23119"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Trusted Subsystem","GenericAll","All","top domain domainDNS ","Domain","Other","","0","False","False","InheritOnly","ContainerInherit","ms-Exch-Public-Folder","Descendents","InheritedObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23119"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","Display-Name-Printable","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23119"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","E-mail-Addresses","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23119"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","Personal-Information","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23119"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","Text-Encoded-OR-Address","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23119"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","Legacy-Exchange-DN","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23119"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","Garbage-Coll-Period","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23119"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","ms-Exch-Public-Delegates","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23119"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Trusted Subsystem","WriteProperty","Exchange-Information","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23119"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Windows Permissions","WriteProperty","Self-Membership","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23121"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Windows Permissions","WriteProperty","SAM-Account-Name","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23121"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Windows Permissions","WriteProperty","WWW-Home-Page","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23121"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Windows Permissions","WriteProperty","Country-Code","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23121"
"DC=phx,DC=fnbm,DC=corp","BUILTIN\Administrators","FNBMCORP\Exchange Windows Permissions","WriteProperty","User-Account-Control","top domain domainDNS ","Domain","Other","","0","False","False","None","ContainerInherit","All","All","ObjectAceTypePresent","Allow","S-1-5-21-1735406465-2454681246-2117129149","S-1-5-21-789336058-1085031214-725345543-23121"
